kodVVyk;nazovVVyk;skVVyk
5t600;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, debridement;S55-01
5t601;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, sekvestrotómia;S55-01
5t604;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, drenáž;S55-01
5t605;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly;S55-01
5t606;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly so sekvestrotómiou;S55-01
5t60x;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, ostatné;S55-01
5t620;Excízia spondylofytu (osteofytu);S55-01
5t621;Parciálna excízia tela stavca chrbtice;S55-01
5t641.1;Dorzálna spondylodéza, 1 segment;S55-01
5t641.2;Dorzálna spondylodéza, 2 segmenty;S55-01
5t641.3;Dorzálna spondylodéza, 3 segmenty;S55-01
5t641.4;Dorzálna spondylodéza, 4 segmenty;S55-01
5t641.5;Dorzálna spondylodéza, 5 segmentov;S55-01
5t641.6;Dorzálna spondylodéza, 6 a viac segmentov;S55-01
5t639;Transplantácie autológnej spongiózy (štepu) alebo kortikospongiózneho štepu na chrbtici;S55-01
5t63a.0;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;S55-01
5t63a.1;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;S55-01
5t63b.0;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;S55-01
5t63b.1;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;S55-01
5t63c;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;S55-01
5t63d;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;S55-01
5t63e;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;S55-01
5t63x;Kostná náhrada na chrbtici, ostatné;S55-01
5t642.1;Ventrálna spondylodéza, 1 segment;S55-01
5t642.2;Ventrálna spondylodéza, 2 segmenty;S55-01
5t642.3;Ventrálna spondylodéza, 3 segmenty;S55-01
5t642.4;Ventrálna spondylodéza, 4 segmenty;S55-01
5t642.5;Ventrálna spondylodéza, 5 segmentov;S55-01
5t642.6;Ventrálna spondylodéza, 6 a viac segmentov;S55-01
5t643.1;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 1 segment;S55-01
5t643.2;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 2 segmenty;S55-01
5t643.3;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 3 segmenty;S55-01
5t643.4;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 4 segmenty;S55-01
5t643.5;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 5 segmentov;S55-01
