kodHVyk;nazovHVyk;kodMS;nazovMS;Dgs
5l5142;Bajpasové operácie aorty pomocou žily, aortoaortálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5143;Bajpasové operácie aorty pomocou žily, aortoiliakálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5144;Bajpasové operácie aorty pomocou žily, aortoiliofemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C187, C19, C484, C488, C494, C62, C762
5l514x;Bajpasové operácie aorty pomocou žily, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5150;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, iliakoiliakálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484,C495,  C488, C494, C62, C762
5l5151;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, iliakoifemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5155;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, iliakokrurálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5156;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, obturátorový bajpas extraanatomicky;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5157;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, a renalis;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5158;Bajpasové operácie a iliaca a viscerálnej tepny pomocou žily, iné viscerálne tepny;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l515x;Bajpasové operácie a iliaca a viscerálne tepny pomocou žily, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5240;Bajpasové operácie aorty pomocou protézy, aorta - acarotis;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5241;Bajpasové operácie aorty pomocou protézy, aorta - a subclavia;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5242;Bajpasové operácie aorty pomocou protézy, aortoaortálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5243;Bajpasové operácie aorty pomocou protézy, aortoiliakálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5244;Bajpasové operácie aorty pomocou protézy, aortoiliofemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
