SkDg;typDg;kodDg;nazovDg
Trauma a poúrazové stavy ;akákoľvek;L020;Kožný absces, furunkul a karbunkul tváre
Trauma a poúrazové stavy ;akákoľvek;L021;Kožný absces, furunkul a karbunkul krku
Trauma a poúrazové stavy ;akákoľvek;L022;Kožný absces, furunkul a karbunkul trupu
Trauma a poúrazové stavy ;akákoľvek;L023;Kožný absces, furunkul a karbunkul zadku
Trauma a poúrazové stavy ;akákoľvek;L024;Kožný absces, furunkul a karbunkul končatiny
Trauma a poúrazové stavy ;akákoľvek;L028;Kožný absces, furunkul a karbunkul na inom mieste
Trauma a poúrazové stavy ;akákoľvek;L029;Kožný absces, furunkul a karbunkul, bližšie neurčený
Trauma a poúrazové stavy ;akákoľvek;L0310;Flegmóna hornej končatiny
Trauma a poúrazové stavy ;akákoľvek;L0311;Flegmóna dolnej končatiny
Trauma a poúrazové stavy ;akákoľvek;L032;Flegmóna tváre
Trauma a poúrazové stavy ;akákoľvek;L033;Flegmóna trupu
Trauma a poúrazové stavy ;akákoľvek;L039;Flegmóna, bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;L8900;Dekubitus 1. stupňa: Hlava
Trauma a poúrazové stavy ;akákoľvek;L8901;Dekubitus 1. stupňa: Horná končatina
Trauma a poúrazové stavy ;akákoľvek;L8902;Dekubitus 1. stupňa: Tŕňový výbežok
Trauma a poúrazové stavy ;akákoľvek;L8903;Dekubitus 1. stupňa: Lopata bedrovej kosti
Trauma a poúrazové stavy ;akákoľvek;L8904;Dekubitus 1. stupňa: Krížová oblasť
Trauma a poúrazové stavy ;akákoľvek;L8905;Dekubitus 1. stupňa: Sedacia oblasť
Trauma a poúrazové stavy ;akákoľvek;L8906;Dekubitus 1. stupňa: Trochanter
Trauma a poúrazové stavy ;akákoľvek;L8907;Dekubitus 1. stupňa: Päta
Trauma a poúrazové stavy ;akákoľvek;L8908;Dekubitus 1. stupňa: Iná oblasť dolnej končatiny
Trauma a poúrazové stavy ;akákoľvek;L8909;Dekubitus 1. stupňa: Bližšie neurčené miesto
Trauma a poúrazové stavy ;akákoľvek;L8910;Dekubitus 2. stupňa: Hlava
Trauma a poúrazové stavy ;akákoľvek;L8911;Dekubitus 2. stupňa: Horná končatina
Trauma a poúrazové stavy ;akákoľvek;L8912;Dekubitus 2. stupňa: Tŕňový výbežok
Trauma a poúrazové stavy ;akákoľvek;L8913;Dekubitus 2. stupňa: Lopata bedrovej kosti
Trauma a poúrazové stavy ;akákoľvek;L8914;Dekubitus 2. stupňa: Krížová oblasť
Trauma a poúrazové stavy ;akákoľvek;L8915;Dekubitus 2. stupňa: Sedacia oblasť
Trauma a poúrazové stavy ;akákoľvek;L8916;Dekubitus 2. stupňa: Trochanter
Trauma a poúrazové stavy ;akákoľvek;L8917;Dekubitus 2. stupňa: Päta
Trauma a poúrazové stavy ;akákoľvek;L8918;Dekubitus 2. stupňa: Iná oblasť dolnej končatiny
Trauma a poúrazové stavy ;akákoľvek;L8919;Dekubitus 2. stupňa: Bližšie neurčené miesto
Trauma a poúrazové stavy ;akákoľvek;L8920;Dekubitus 3. stupňa: Hlava
Trauma a poúrazové stavy ;akákoľvek;L8921;Dekubitus 3. stupňa: Horná končatina
Trauma a poúrazové stavy ;akákoľvek;L8922;Dekubitus 3. stupňa: Tŕňový výbežok
Trauma a poúrazové stavy ;akákoľvek;L8923;Dekubitus 3. stupňa: Lopata bedrovej kosti
Trauma a poúrazové stavy ;akákoľvek;L8924;Dekubitus 3. stupňa: Krížová oblasť
Trauma a poúrazové stavy ;akákoľvek;L8925;Dekubitus 3. stupňa: Sedacia oblasť
Trauma a poúrazové stavy ;akákoľvek;L8926;Dekubitus 3. stupňa: Trochanter
Trauma a poúrazové stavy ;akákoľvek;L8927;Dekubitus 3. stupňa: Päta
Trauma a poúrazové stavy ;akákoľvek;L8928;Dekubitus 3. stupňa: Iná oblasť dolnej končatiny
Trauma a poúrazové stavy ;akákoľvek;L8929;Dekubitus 3. stupňa: Bližšie neurčené miesto
Trauma a poúrazové stavy ;akákoľvek;L8930;Dekubitus 4. stupňa: Hlava
Trauma a poúrazové stavy ;akákoľvek;L8931;Dekubitus 4. stupňa: Horná končatina
Trauma a poúrazové stavy ;akákoľvek;L8932;Dekubitus 4. stupňa: Tŕňový výbežok
Trauma a poúrazové stavy ;akákoľvek;L8933;Dekubitus 4. stupňa: Lopata bedrovej kosti
Trauma a poúrazové stavy ;akákoľvek;L8934;Dekubitus 4. stupňa: Krížová oblasť
Trauma a poúrazové stavy ;akákoľvek;L8935;Dekubitus 4. stupňa: Sedacia oblasť
Trauma a poúrazové stavy ;akákoľvek;L8936;Dekubitus 4. stupňa: Trochanter
Trauma a poúrazové stavy ;akákoľvek;L8937;Dekubitus 4. stupňa: Päta
Trauma a poúrazové stavy ;akákoľvek;L8938;Dekubitus 4. stupňa: Iná oblasť dolnej končatiny
Trauma a poúrazové stavy ;akákoľvek;L8939;Dekubitus 4. stupňa: Bližšie neurčené miesto
Trauma a poúrazové stavy ;akákoľvek;M0000;Artritída a polyartritída zapríčinená stafylokokmi, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M0001;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0002;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0003;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0004;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M0005;Artritída a polyartritída zapríčinená stafylokokmi, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0006;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
