kodHDg;nazovHDg;kodMS;nazovMS
A000;Cholera zapríčinená Vibrio cholerae 01, biovar cholerae;S63-23;Iné infekčné ochorenia GIT
A001;Cholera zapríčinená Vibrio cholerae 01, biovar eltor;S63-23;Iné infekčné ochorenia GIT
A009;Cholera, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
A010;Brušný týfus;S71-07;Sepsa
A011;Paratýfus A;S71-07;Sepsa
A012;Paratýfus B;S71-07;Sepsa
A013;Paratýfus C;S71-07;Sepsa
A014;Paratýfus, bližšie neurčený;S71-08;Iné infekčné ochorenia
A020;Salmonelová enteritída;S63-24;Infekčná gastroenteritída I
A021;Salmonelová sepsa;S71-07;Sepsa
A022;Lokalizovaná salmonelová infekcia;S71-08;Iné infekčné ochorenia
A028;Iná salmonelová infekcia, bližšie určená;S71-08;Iné infekčné ochorenia
A029;Salmonelová infekcia, bližšie neurčená;S71-08;Iné infekčné ochorenia
A030;Šigelóza zapríčinená Shigella dysenteriae;S63-23;Iné infekčné ochorenia GIT
A031;Šigelóza zapríčinená Shigella flexneri;S63-23;Iné infekčné ochorenia GIT
A032;Šigelóza zapríčinená Shigella boydii;S63-23;Iné infekčné ochorenia GIT
A033;Šigelóza zapríčinená Shigella sonnei;S63-23;Iné infekčné ochorenia GIT
A038;Iná šigelóza;S63-23;Iné infekčné ochorenia GIT
A039;Šigelóza, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
A040;Infekcia zapríčinená enteropatogénnou Escherichia coli;S63-24;Infekčná gastroenteritída I
A041;Infekcia zapríčinená enterotoxikogénnou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
A042;Infekcia zapríčinená enteroinvazívnou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
A043;Infekcia zapríčinená enterohemoragickou Escherichia coli;S63-23;Iné infekčné ochorenia GIT
A044;Iné črevné infekcie zapríčinené Escherichia coli;S63-23;Iné infekčné ochorenia GIT
A045;Enteritída zapríčinená kampylobakterom;S63-23;Iné infekčné ochorenia GIT
A046;Enteritída zapríčinená Yersinia enterocolitica;S63-23;Iné infekčné ochorenia GIT
A047;Enterokolitída zapríčinená Clostridium difficile;S63-23;Iné infekčné ochorenia GIT
A0481;Enteritída zapríčinená Arcobacter spp.;S63-23;Iné infekčné ochorenia GIT
A0489;Iná baktériová črevná infekcia, bližšie určená;S63-24;Infekčná gastroenteritída I
A049;Baktériová črevná infekcia, bližšie neurčená;S63-24;Infekčná gastroenteritída I
A050;Potravinová otrava zapríčinená stafylokokmi;S63-24;Infekčná gastroenteritída I
A051;Botulizmus;S71-08;Iné infekčné ochorenia
A052;Potravinová otrava zapríčinená Clostridium perfringens (Clostridium welchii);S63-23;Iné infekčné ochorenia GIT
A053;Potravinová otrava zapríčinená Vibrio parahaemolyticus;S63-24;Infekčná gastroenteritída I
A054;Potravinová otrava zapríčinená Bacillus cereus;S63-24;Infekčná gastroenteritída I
A058;Iná bližšie určená baktériová potravinová otrava;S63-24;Infekčná gastroenteritída I
A059;Bližšie neurčená baktériová potravinová otrava;S63-24;Infekčná gastroenteritída I
A060;Akútna amébová dyzentéria;S63-23;Iné infekčné ochorenia GIT
A061;Chronická črevná amebóza;S63-23;Iné infekčné ochorenia GIT
A062;Amébová nedyzenterická kolitída;S63-23;Iné infekčné ochorenia GIT
A063;Črevný amebóm;S71-08;Iné infekčné ochorenia
A064;Amébový absces pečene;S66-11;Ochorenia pečene III
A065;Amébový absces pľúc (J99.8*);S65-06;Iné infekcie a zápaly dýchacích orgánov III
A066;Amébový absces mozgu (G07*);S73-32;Infekcia nervového systému
A067;Kožná amebóza;S61-01;Závažné ochorenia kože
A068;Amébová infekcia na iných miestach;S71-08;Iné infekčné ochorenia
A069;Bližšie neurčená amebóza;S71-08;Iné infekčné ochorenia
A070;Balantidióza;S63-23;Iné infekčné ochorenia GIT
A071;Giardióza [lambliáza];S63-23;Iné infekčné ochorenia GIT
A072;Kryptosporidióza;S63-23;Iné infekčné ochorenia GIT
A073;Izosporióza;S63-23;Iné infekčné ochorenia GIT
A078;Iná protozoárna črevná choroba, bližšie určená;S63-23;Iné infekčné ochorenia GIT
A079;Protozoárna črevná choroba, bližšie neurčená;S63-23;Iné infekčné ochorenia GIT
A080;Rotavírusová enteritída;S63-23;Iné infekčné ochorenia GIT
A081;Akútna gastroenteritída zapríčinená norovírusom [Norwalk];S63-24;Infekčná gastroenteritída I
A082;Adenovírusová enteritída;S63-23;Iné infekčné ochorenia GIT
A083;Iná vírusová enteritída;S63-24;Infekčná gastroenteritída I
A084;Vírusová črevná infekcia, bližšie neurčená;S63-24;Infekčná gastroenteritída I
A085;Iné, bližšie určené črevné infekcie;S63-23;Iné infekčné ochorenia GIT
A090;Iná a bližšie neurčená gastroenteritída a kolitída infekčného pôvodu;S63-24;Infekčná gastroenteritída I
A099;Iná a bližšie neurčená gastroenteritída a kolitída bližšie neurčeného pôvodu;S63-24;Infekčná gastroenteritída I
A150;Tuberkulóza pľúc, potvrdená mikroskopickým vyšetrením spúta s dôkazom, alebo bez dôkazu kultivačne alebo molekulovobiologicky;S65-01;Tuberkulóza
A151;Tuberkulóza pľúc, potvrdená len kultivačne;S65-01;Tuberkulóza
A152;Tuberkulóza pľúc, potvrdená histologicky;S65-01;Tuberkulóza
A153;Tuberkulóza pľúc, potvrdená inými a bližšie neurčenými metódami;S65-01;Tuberkulóza
A154;Tuberkulóza vnútrohrudníkových lymfatických uzlín, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
A155;Tuberkulóza hrtana, priedušnice a priedušiek, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
A156;Tuberkulózna pleuritída, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
A157;Primárna tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
A158;Iná tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky;S65-01;Tuberkulóza
A159;Tuberkulóza dýchacej sústavy, potvrdená bakteriologicky, molekulovobiologicky alebo histologicky, bližšie neurčená;S65-01;Tuberkulóza
A160;Tuberkulóza pľúc bakteriologicky, molekulovobiologicky alebo histologicky negatívna;S65-01;Tuberkulóza
A161;Tuberkulóza pľúc, bez vykonania bakteriologického, molekulovobiologického a histologického vyšetrenia;S65-01;Tuberkulóza
A162;Tuberkulóza pľúc, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
A163;Tuberkulóza vnútrohrudníkových lymfatických uzlín, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
A164;Tuberkulóza hrtana, priedušnice a priedušiek bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
A165;Tuberkulózna pleuritída, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
A166;Latentná turberkulózna infekcia;S65-01;Tuberkulóza
A167;Primárna tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
A168;Iná tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení;S65-01;Tuberkulóza
