kriterium;poradieKriterium;typKriterium;kod;nazov;pocetKriterium
Nekonvenčná UPV (vysokofrekvenčná, NO ventilácia);1;vyk;8p107;Vysokofrekvenčná ventilácia;1
Nekonvenčná UPV (vysokofrekvenčná, NO ventilácia);1;vyk;8p133;Inhalačná aplikácia oxidu dusnatého;1
Riadená hypotermia;1;vyk;8q902;Aktívne kontrolované chladenie po resuscitácii, terapeutická hypotermia;1
Paliatívna starostlivosť u novorodencov;1;dg;Z515;Paliatívna starostlivosť;1
Potreba výmennej transfúzie;1;vyk;8r2637;Výmenná transfúzia u novorodencov;1
Novorodenec pod hranicou viability (< 24 týždeň alebo < 500 g);1;hmot<;500;;1
Novorodenec pod hranicou viability (< 24 týždeň alebo < 500 g);1;vyk;99999;gestačný vek nižší ako 24 týždňov;1
Akútny pôrod novorodenca v prípade ohrozenia života bez ohľadu na gestačný vek a hmotnosť;1;vyk;93083;Akútny pôrod novorodenca v prípade ohrozenia života;1
So signifikantným OP výkonom;1;vyk;12a100;;1
So signifikantným OP výkonom;1;vyk;12a101;;1
So signifikantným OP výkonom;1;vyk;12a102;;1
So signifikantným OP výkonom;1;vyk;12a103;;1
So signifikantným OP výkonom;1;vyk;12a104;;1
So signifikantným OP výkonom;1;vyk;12a105;;1
So signifikantným OP výkonom;1;vyk;12a10x;;1
So signifikantným OP výkonom;1;vyk;12a200;;1
So signifikantným OP výkonom;1;vyk;12a201;;1
So signifikantným OP výkonom;1;vyk;12a202;;1
So signifikantným OP výkonom;1;vyk;12a20x;;1
So signifikantným OP výkonom;1;vyk;12a300;;1
So signifikantným OP výkonom;1;vyk;12a301;;1
So signifikantným OP výkonom;1;vyk;12a302;;1
So signifikantným OP výkonom;1;vyk;12a303;;1
So signifikantným OP výkonom;1;vyk;12a304;;1
So signifikantným OP výkonom;1;vyk;12a305;;1
So signifikantným OP výkonom;1;vyk;12a306;;1
So signifikantným OP výkonom;1;vyk;12a307;;1
So signifikantným OP výkonom;1;vyk;12a308;;1
So signifikantným OP výkonom;1;vyk;12a309;;1
So signifikantným OP výkonom;1;vyk;12a30x;;1
So signifikantným OP výkonom;1;vyk;12b10;;1
So signifikantným OP výkonom;1;vyk;12b11;;1
So signifikantným OP výkonom;1;vyk;12b13;;1
So signifikantným OP výkonom;1;vyk;12b20;;1
So signifikantným OP výkonom;1;vyk;12b21;;1
So signifikantným OP výkonom;1;vyk;12b23;;1
So signifikantným OP výkonom;1;vyk;12c02;;1
So signifikantným OP výkonom;1;vyk;12c03;;1
So signifikantným OP výkonom;1;vyk;12m110;;1
So signifikantným OP výkonom;1;vyk;12m111;;1
So signifikantným OP výkonom;1;vyk;12m112;;1
So signifikantným OP výkonom;1;vyk;12m113;;1
So signifikantným OP výkonom;1;vyk;12m114;;1
So signifikantným OP výkonom;1;vyk;12m115;;1
So signifikantným OP výkonom;1;vyk;12m116;;1
So signifikantným OP výkonom;1;vyk;12m117;;1
So signifikantným OP výkonom;1;vyk;12m13;;1
So signifikantným OP výkonom;1;vyk;12m1x;;1
So signifikantným OP výkonom;1;vyk;12m210;;1
So signifikantným OP výkonom;1;vyk;12m211;;1
So signifikantným OP výkonom;1;vyk;12m212;;1
So signifikantným OP výkonom;1;vyk;12m213;;1
So signifikantným OP výkonom;1;vyk;12m214;;1
So signifikantným OP výkonom;1;vyk;12m215;;1
So signifikantným OP výkonom;1;vyk;12m216;;1
So signifikantným OP výkonom;1;vyk;12m217;;1
So signifikantným OP výkonom;1;vyk;12m23;;1
So signifikantným OP výkonom;1;vyk;12m2x;;1
So signifikantným OP výkonom;1;vyk;12o012;;1
So signifikantným OP výkonom;1;vyk;12o016;;1
So signifikantným OP výkonom;1;vyk;12q100;;1
So signifikantným OP výkonom;1;vyk;12q101;;1
So signifikantným OP výkonom;1;vyk;12q102;;1
So signifikantným OP výkonom;1;vyk;12q103;;1
So signifikantným OP výkonom;1;vyk;12q110;;1
So signifikantným OP výkonom;1;vyk;12q111;;1
So signifikantným OP výkonom;1;vyk;12q112;;1
So signifikantným OP výkonom;1;vyk;12q11x;;1
So signifikantným OP výkonom;1;vyk;12q120;;1
So signifikantným OP výkonom;1;vyk;12q12x;;1
So signifikantným OP výkonom;1;vyk;12q230;;1
So signifikantným OP výkonom;1;vyk;12q231;;1
So signifikantným OP výkonom;1;vyk;12q232;;1
So signifikantným OP výkonom;1;vyk;12q233;;1
So signifikantným OP výkonom;1;vyk;12t000;;1
So signifikantným OP výkonom;1;vyk;12t001;;1
So signifikantným OP výkonom;1;vyk;12t002;;1
So signifikantným OP výkonom;1;vyk;12t003;;1
So signifikantným OP výkonom;1;vyk;12t004;;1
So signifikantným OP výkonom;1;vyk;12t005;;1
So signifikantným OP výkonom;1;vyk;12t006;;1
So signifikantným OP výkonom;1;vyk;12t007;;1
So signifikantným OP výkonom;1;vyk;12t008;;1
So signifikantným OP výkonom;1;vyk;12t009;;1
So signifikantným OP výkonom;1;vyk;12t00a;;1
So signifikantným OP výkonom;1;vyk;12t00x;;1
So signifikantným OP výkonom;1;vyk;12t104;;1
So signifikantným OP výkonom;1;vyk;12t204;;1
So signifikantným OP výkonom;1;vyk;12t21b;;1
So signifikantným OP výkonom;1;vyk;13a100;;1
So signifikantným OP výkonom;1;vyk;13a101;;1
So signifikantným OP výkonom;1;vyk;13a102;;1
So signifikantným OP výkonom;1;vyk;13a103;;1
So signifikantným OP výkonom;1;vyk;13a104;;1
So signifikantným OP výkonom;1;vyk;13a105;;1
So signifikantným OP výkonom;1;vyk;13a106;;1
So signifikantným OP výkonom;1;vyk;13a107;;1
So signifikantným OP výkonom;1;vyk;13a108;;1
So signifikantným OP výkonom;1;vyk;13a109;;1
So signifikantným OP výkonom;1;vyk;13a10x;;1
So signifikantným OP výkonom;1;vyk;13a110;;1
So signifikantným OP výkonom;1;vyk;13a111;;1
So signifikantným OP výkonom;1;vyk;13a112;;1
So signifikantným OP výkonom;1;vyk;13a113;;1
