kodHVyk;nazovHVyk;skVVyk;kodMS;nazovMS
93084;Chirurgická liečba idiopatických deformít v detskom veku;S55-01;S55-01;Chirurgická liečba idiopatických deformít v detskom veku
93085;Chirurgická liečba kongenitálnych deformít v detskom veku  ;S55-02;S55-02;Chirurgická liečba kongenitálnych deformít v detskom veku 
93086;Chirurgická liečba neurogénnych deformít v detskom veku ;S55-03;S55-03;Chirurgická liečba neurogénnych deformít v detskom veku 
93087;Chirurgická liečba deformít v detskom veku pri syndrómových skoliózach;S55-04;S55-04;Chirurgická liečba deformít v detskom veku pri syndrómových skoliózach
93088;Chirurgická liečba poúrazových deformít v detskom veku ;S55-05;S55-05;Chirurgická liečba poúrazových deformít v detskom veku 
93042;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;S55-06;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7
93043;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;S55-07;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5
93044;Paliatívna perkutánna chirurgická liečba nádorov chrbtice - T1-S1;S55-08;S55-08;Paliatívna perkutánna chirurgická liečba nádorov chrbtice - T1-S1
93045;Paliatívna chirurgická liečba nádorov chrbtice - S1-Co;S55-09;S55-09;Paliatívna chirurgická liečba nádorov chrbtice - S1-Co
93046;Radikálna chirurgická liečba nádorov chrbtice - C0-C7;S55-10;S55-10;Radikálna chirurgická liečba nádorov chrbtice - C0-C7
93047;Radikálna chirurgická liečba nádorov chrbtice  - T1-L5;S55-11;S55-11;Radikálna chirurgická liečba nádorov chrbtice  - T1-L5
93048;Radikálna chirurgická liečba nádorov chrbtice - S1-Co;S55-12;S55-12;Radikálna chirurgická liečba nádorov chrbtice - S1-Co
93049;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C0-C2;S55-13;S55-13;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C0-C2
93050;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C3-C7 ;S55-14;S55-14;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C3-C7 
93051;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - T1-T11;S55-15;S55-15;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - T1-T11
93052;Chirurgická liečba úrazov chrbtice bez neurologického deficitu -T12-L2;S55-16;S55-16;Chirurgická liečba úrazov chrbtice bez neurologického deficitu -T12-L2
93053;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - L1-L5;S55-17;S55-17;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - L1-L5
93054;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - S-Co;S55-18;S55-18;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - S-Co
93055;Chirurgická liečba úrazov chrbtice s instabilitou - C0-C2;S55-19;S55-19;Chirurgická liečba úrazov chrbtice s instabilitou - C0-C2
93056;Chirurgická liečba úrazov chrbtice s instabilitou - C3-C7;S55-20;S55-20;Chirurgická liečba úrazov chrbtice s instabilitou - C3-C7
93057;Chirurgická liečba úrazov chrbtice s instabilitou - T1-T11;S55-21;S55-21;Chirurgická liečba úrazov chrbtice s instabilitou - T1-T11
93058;Chirurgická liečba úrazov chrbtice s instabilitou - T12-L2;S55-22;S55-22;Chirurgická liečba úrazov chrbtice s instabilitou - T12-L2
93059;Chirurgická liečba úrazov chrbtice s instabilitou - L1-L5;S55-23;S55-23;Chirurgická liečba úrazov chrbtice s instabilitou - L1-L5
93060;Chirurgická liečba úrazov chrbtice s instabilitou - S-Co;S55-24;S55-24;Chirurgická liečba úrazov chrbtice s instabilitou - S-Co
93061;Chirurgická liečba úrazov chrbtice s neurologickým deficitom- C0-C2;S55-25;S55-25;Chirurgická liečba úrazov chrbtice s neurologickým deficitom- C0-C2
93062;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - C3-C7;S55-26;S55-26;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - C3-C7
93063;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T1-T11;S55-27;S55-27;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T1-T11
93064;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T12-L2;S55-28;S55-28;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T12-L2
93065;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - L1-L5;S55-29;S55-29;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - L1-L5
93066;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - S-Co;S55-30;S55-30;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - S-Co
93067;Chirurgická liečba degen. ochorení chrbtice - C0-C7 ;S55-31;S55-31;Chirurgická liečba degen. ochorení chrbtice - C0-C7 
93068;Chirurgická liečba degen. ochorení chrbtice - T1-S1;S55-32;S55-32;Chirurgická liečba degen. ochorení chrbtice - T1-S1
93069;Chirurgická liečba degen. ochorení chrbtice - S2-Co + SI kĺby;S55-33;S55-33;Chirurgická liečba degen. ochorení chrbtice - S2-Co + SI kĺby
93070;Chirurgická liečba instabilít chrbtice - C0-C2;S55-34;S55-34;Chirurgická liečba instabilít chrbtice - C0-C2
93071;Chirurgická liečba instabilít chrbtice - C3-C7;S55-35;S55-35;Chirurgická liečba instabilít chrbtice - C3-C7
93072;Chirurgická liečba instabilít chrbtice - T1-S1;S55-36;S55-36;Chirurgická liečba instabilít chrbtice - T1-S1
93073;Chirurgická liečba instabilít chrbtice - S2-Co + SI kĺby;S55-37;S55-37;Chirurgická liečba instabilít chrbtice - S2-Co + SI kĺby
93074;Chirurgická liečba zápalových a metabolických spondylopatií - C0-C2;S55-38;S55-38;Chirurgická liečba zápalových a metabolických spondylopatií - C0-C2
93075;Chirurgická liečba zápalových a metabolických spondylopatií - C3-C7;S55-39;S55-39;Chirurgická liečba zápalových a metabolických spondylopatií - C3-C7
93076;Chirurgická liečba zápalových a metabolických spondylopatií - T1-S1;S55-40;S55-40;Chirurgická liečba zápalových a metabolických spondylopatií - T1-S1
93077;Chirurgická liečba zápalových a metabolických spondylopatií  - S2-Co + SI kĺby;S55-41;S55-41;Chirurgická liečba zápalových a metabolických spondylopatií - S2-Co + SI kĺby
