kodHVyk;nazovHVyk;SkDg;kodMS;nazovMS
5t061;Osteosyntéza skrutkou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t063;Osteosyntéza dlahou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t064;Osteosyntéza drôtom alebo ťahovou serklážou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t065;Osteosyntéza dynamickou kompresnou skrutkou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t066;Osteosyntéza vnútrodreňovým klincom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t067;Osteosyntéza zaisteným vnútrodreňovým klincom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t068;Osteosyntéza vnútrodreňovým klincom zaisteným na kĺbovú komponentu;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t069;Osteosyntéza transfixačným klincom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06a;Osteosyntéza intramedulárnym drôtom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06b;Osteosyntéza uhlovostabilnou dlahou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06c;Osteosyntéza uhlovou/kondylárnou dlahou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06d;Osteosyntéza skobou;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06f0;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, nemotorizovaná ;Trauma a poúrazové stavy ;S02-04;Osteosyntéza pre poúrazové stavy a komplikácie iná
5t06f1;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, motorizovaná;Trauma a poúrazové stavy ;S02-04;Osteosyntéza pre poúrazové stavy a komplikácie iná
5t06v;Osteosyntéza kruhovým fixátorom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06x;Osteosyntéza, iná;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t06z;Osteosyntéza rezorbovateľným materiálom;Trauma a poúrazové stavy ;S02-35;Osteosyntéza pre poúrazové stavy a komplikácie
5t900;Replantácia v oblasti nad lakťom;Trauma a poúrazové stavy ;S02-06;Replantácie
5t901;Replantácia v oblasti lakťa;Trauma a poúrazové stavy ;S02-06;Replantácie
5t902;Replantácia v oblasti predlaktia;Trauma a poúrazové stavy ;S02-06;Replantácie
5t903;Replantácia v oblasti zápästia;Trauma a poúrazové stavy ;S02-06;Replantácie
5t904;Replantácia v oblasti strednej časti ruky;Trauma a poúrazové stavy ;S02-06;Replantácie
5t905;Replantácia palca ruky;Trauma a poúrazové stavy ;S02-06;Replantácie
5t906;Replantácia v oblasti prstov ruky;Trauma a poúrazové stavy ;S02-06;Replantácie
5t90x;Replantácia v oblasti hornej končatiny, ostatné;Trauma a poúrazové stavy ;S02-06;Replantácie
5t910;Replantácia v oblasti stehna;Trauma a poúrazové stavy ;S02-06;Replantácie
5t911;Replantácia v oblasti kolena;Trauma a poúrazové stavy ;S02-06;Replantácie
5t912;Replantácia v oblasti predkolenia;Trauma a poúrazové stavy ;S02-06;Replantácie
5t913;Replantácia v oblasti členka;Trauma a poúrazové stavy ;S02-06;Replantácie
5t914;Replantácia v oblasti stredu šlapy;Trauma a poúrazové stavy ;S02-06;Replantácie
5t915;Replantácia prstu nohy;Trauma a poúrazové stavy ;S02-06;Replantácie
5t91x;Replantácia v oblasti dolnej končatiny,ostatné;Trauma a poúrazové stavy ;S02-06;Replantácie
5t0010;Explorácia kostného tkaniva klavikuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0011;Explorácia kostného tkaniva proximálneho humeru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0012;Explorácia kostného tkaniva diafyzárneho  humeru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0013;Explorácia kostného tkaniva distálneho humeru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0014;Explorácia kostného tkaniva proximálneho radia ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0015;Explorácia kostného tkaniva diafyzárneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0016;Explorácia kostného tkaniva distálneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0017;Explorácia kostného tkaniva proximálnej ulny ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0018;Explorácia kostného tkaniva diafyzárnej ulny;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0019;Explorácia kostného tkaniva distálnej ulny ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001a;Explorácia kostného tkaniva karpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001b;Explorácia kostného tkaniva metakarpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001c;Explorácia kostného tkaniva falangov prstov ruky;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001e;Explorácia kostného tkaniva krčka stehennej kosti;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
