kod_hlavneho_vykonu;nazov_hlavneho_vykonu;kod_ms;nazov_ms
8r160;Eliminačné metódy liečby zlyhania pečene [MARS];S01-01;Kritické poruchy vnútorného prostredia vyžadujúce úzko špecializované postupy 
8u206;Monitorovanie pH, parciálneho tlaku oxidu uhličitého [paCO2], parciálneho tlaku kyslíka [PaO2] fibrooptickým katétrom;S01-01;Kritické poruchy vnútorného prostredia vyžadujúce úzko špecializované postupy 
8v232;Starostlivosť o darcu orgánov;S01-01;Kritické poruchy vnútorného prostredia vyžadujúce úzko špecializované postupy 
8r716;Použitie Biomedicus pumpy;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8r7221;Zavedenie katétra do a. pulmonalis;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8r75130;Použitie minimalizovaného kardiopulmonálneho prístroja: do menej ako 48 hodín;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8r75131;Použitie minimalizovaného kardiopulmonálneho prístroja: 48 až menej ako 96 hodín;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8r75132;Použitie minimalizovaného kardiopulmonálneho prístroja: 96 a viac hodín;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8u210;Invazívne meranie minutového srdcového objemu;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8u211;Monitorovanie tlaku v ľavej predsieni;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8u2122;Monitorovanie hemodynamiky invazívne;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8u228;Monitorovanie tlaku v a. pulmonalis a tlaku v zaklinení v a. pulmonalis;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8u904;Zavedenie transezofageálnej echokardiografickej sondy;S01-02;Podpora krvného obehu vyžadujúca úzko špecializované postupy 
8p133;Inhalačná aplikácia oxidu dusnatého;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r750;Extrakorporálna eliminácia CO2 [ECCO2-R];S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75120;Extrakorporálna podpora pľúc bez pumpy: do menej ako 6 dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75121;Extrakorporálna podpora pľúc bez pumpy: 6 až menej ako 12 dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75122;Extrakorporálna podpora pľúc bez pumpy: 12 až menej ako 18 dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75123;Extrakorporálna podpora pľúc bez pumpy: 18 až menej ako 30 dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75124;Extrakorporálna podpora pľúc bez pumpy: 30 až menej ako 42 dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8r75125;Extrakorporálna podpora pľúc bez pumpy: 42 a viac dní;S01-03;Podpora dýchania vyžadujúca úzko špecializované postupy 
8p144;Intubácia dvojlúmenovou endotracheálnou kanylou;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8p145;Zavedenie intubačnej kanyly retrográdne po vodiči;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8p146;Zavedenie transtracheálnej kanyly (katétra) pre vysokofrekvenčnú ventiláciu;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u103;Monitorovanie intrakraniálneho tlaku, epidurálne;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u105;Monitorovanie intrakraniálneho tlaku, intraventrikulárne;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u106;Monitorovanie perfúzie mozgu transkraniálnym dopplerom;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u110;Monitorovanie EEG počas anestézie a v intenzívnej starostlivosti;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u112;Monitorovanie evokovaných potenciálov počas anestézie;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u9011;Zavedenie epidurálneho snímača intrakraniálneho tlaku;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u9012;Zavedenie parenchýmového snímača intrakraniálneho tlaku;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8u9013;Zavedenie komorového snímača intrakraniálneho tlaku;S01-04;Bezvedomie a zabezpečenie DC vyžadujúce úzko špecializované postupy
8q902;Aktívne kontrolované chladenie po resuscitácii, terapeutická hypotermia;S01-05;Kritické poruchy vnútorného prostredia vyžadujúce špecializované postupy 
8p147;Zavedenie endotracheálnej kanyly bronchoskopicky;S01-06;Bezvedomie a zabezpečenie DC vyžadujúce špecializované postupy 
8p204;Výmena tracheostomickej kanyly;S01-06;Bezvedomie a zabezpečenie DC vyžadujúce špecializované postupy 
8u104;Monitorovanie intrakraniálneho tlaku, parenchymatózne;S01-06;Bezvedomie a zabezpečenie DC vyžadujúce špecializované postupy 
8p102a;Transtracheálna umelá ventilácia pľúc;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8p102b;Katétrová umelá ventilácia pľúc;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8p102c;Bronchoskopická umelá ventilácia pľúc;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8p102e;Neutrálne nastavená ventilačná asistencia [NAVA];S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8p107;Vysokofrekvenčná ventilácia;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8c110;Endoskopické odstránenie cudzieho telesa z hypofaryngu;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8c120;Endoskopické odstránenie cudzieho telesa z laryngu cez rigidný laryngoskop;S01-07;Podpora dýchania vyžadujúca špecializované postupy 
8r713;Perioperačná trombolýza;S01-08;Podpora krvného obehu vyžadujúca špecializované postupy 
8u2121;Monitorovanie hemodynamiky neinvazívne alebo miniinvazívne;S01-08;Podpora krvného obehu vyžadujúca špecializované postupy 
8v231;Manažment potenciálneho darcu orgánu;S01-09;Kritické poruchy vnútorného prostredia nevyžadujúce špeciálne postupy 
8p140;Naloženie laryngeálnej masky;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8p141;Koniotómia (koniopunkcia);S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8p142;Orotracheálna intubácia;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8p143;Nazotracheálna intubácia;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8p148;Zavedenie vzduchovodu, Combitubusu a inej supraglotickej pomôcky;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8u001;Kontinuálne monitorovanie klinického stavu;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8u906;Komplexná poresuscitačná starostlivosť;S01-15;Bezvedomie a zabezpečenie DC nevyžadujúce špeciálne postupy 
8p1021;Podporná umelá ventilácia pľúc;S01-16;Podpora dýchania nevyžadujúca špeciálne postupy 
8p1022;Riadená umelá ventilácia pľúc ;S01-16;Podpora dýchania nevyžadujúca špeciálne postupy 
8q110;Umelé dýchanie vakom;S01-16;Podpora dýchania nevyžadujúca špeciálne postupy 
8o1002;Vonkajšia elektroimpulzoterapia porúch srdcového rytmu, asynchrónna [defibrilácia];S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8q111;Umelé dýchanie a externá masáž srdca;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8q121;Zatvorená masáž srdca;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8q123;Základná kardiopulmonálna resuscitácia;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8q124;Rozšírená kardiopulmonálna resuscitácia;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r7222;Zavedenie arteriálneho katétra;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r7224;Zavedenie katétra do v. femoralis a a. femoralis;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r72410;Zavedenie centrálneho venózneho katétra, externý tunelizovaný katéter bez USG navigácie;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r7261;Extrakcia centrálneho venózneho katétra, tunelizovaný katéter;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r730;Trombolytická liečba akútneho infarktu myokardu;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r7310;Trombolytická liečba akútnej cievnej mozgovej príhody;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
8r7311;Trombolytická liečba akútnej pľúcnej embólie;S01-17;Podpora krvného obehu nevyžadujúca špeciálne postupy 
93032;Dlhodobá intenzívna starostlivosť - I. úroveň;S01-23;Dlhodobá intenzívna starostlivosť
5t071d;Odstránenie skrutky, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t071z;Odstránenie skrutky, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t072d;Odstránenie drôtu, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t072z;Odstránenie drôtu, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t073d;Odstránenie dlahy, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t073z;Odstránenie dlahy, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t074d;Odstránenie ťahovej serkláže, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t074z;Odstránenie ťahovej serkláže, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t075d;Odstránenie dynamickej kompresívnej skrutky, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t075z;Odstránenie dynamickej kompresívnej skrutky, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t079d;Odstránenie klinca po transfixácii, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
