kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
W340;Poranenie výstrelom z inej a bližšie neurčenej strelnej zbrane - MU: Domov;S01-10;Komplexná starostlivosť o pacienta podľa druhu strelného poranenia a jeho vplyvu na celkový stav organizmu 
Z526;Darca pečene;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z527;Darca srdca;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z5281;Darca pľúc;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z5282;Darca pankreasu;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z5289;Darca iného orgánu alebo tkaniva;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z529;Darca bližšie neurčeného orgánu alebo tkaniva;S01-11;Komplexná intenzívna starostlivosť o darcu orgánov 
Z941;Stav po transplantácii srdca;S01-12;Komplexná intenzívna starostlivosť po transplantácii srdca a pľúc
Z942;Stav po transplantácii pľúc;S01-12;Komplexná intenzívna starostlivosť po transplantácii srdca a pľúc
Z943;Stav po transplantácii srdca a pľúc;S01-12;Komplexná intenzívna starostlivosť po transplantácii srdca a pľúc
Z9482;Stav po transplantácii pankreasu;S01-13;Komplexná intenzívna starostlivosť po transplantácii obličky a pankreasu 
Z9483;Stav po transplantácii obličky a pankreasu;S01-13;Komplexná intenzívna starostlivosť po transplantácii obličky a pankreasu 
Z9488;Stav po transplantácii iného orgánu alebo tkaniva;S01-14;Komplexná intenzívna starostlivosť po transplantácii orgánu
Z949;Stav po transplantácii orgánu alebo tkaniva, bližšie neurčeného;S01-14;Komplexná intenzívna starostlivosť po transplantácii orgánu
T750;Účinok blesku;S01-18;Komplexná starostlivosť o pacienta po zásahu bleskom
T751;Utopenie a topenie (nie smrteľné);S01-19;Komplexná starostlivosť o pacienta po topení sa alebo pritopení sa
T884;Nevydarená alebo ťažká intubácia;S01-20;Manažment pacienta pri sťaženom zabezpečení dýchacích ciest 
T882;Šok, zapríčinený anestéziou;S01-21;Komplexná starostlivosť o pacienta podľa typu vzniku komplikácie anestézie 
T883;Malígna hypertermia zapríčinená anestéziou;S01-21;Komplexná starostlivosť o pacienta podľa typu vzniku komplikácie anestézie 
T885;Iná komplikácia anestézie;S01-21;Komplexná starostlivosť o pacienta podľa typu vzniku komplikácie anestézie 
T810;Krvácanie a hematóm, komplikujúci výkon, nezatriedené inde;S01-22;Komplexná starostlivosť o pacienta s krvácaním alebo inou formou šoku v súvislosti s výkonom 
T811;Šok počas výkonu alebo po výkone, nezatriedený inde;S01-22;Komplexná starostlivosť o pacienta s krvácaním alebo inou formou šoku v súvislosti s výkonom 
T886;Anafylaktický šok ako nežiaduci účinok správne indikovaného a správne podaného lieku alebo liečiva;S01-22;Komplexná starostlivosť o pacienta s krvácaním alebo inou formou šoku v súvislosti s výkonom 
S0000;Povrchové poranenie vlasatej kože hlavy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0001;Povrchové poranenie vlasatej kože hlavy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0004;Povrchové poranenie vlasatej kože hlavy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0005;Povrchové poranenie vlasatej kože hlavy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0008;Povrchové poranenie vlasatej kože hlavy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0030;Povrchové poranenie nosa: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0031;Povrchové poranenie nosa: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0034;Povrchové poranenie nosa: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0035;Povrchové poranenie nosa: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0038;Povrchové poranenie nosa: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0040;Povrchové poranenie ucha: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0041;Povrchové poranenie ucha: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0044;Povrchové poranenie ucha: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0045;Povrchové poranenie ucha: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0048;Povrchové poranenie ucha: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0050;Povrchové poranenie pery a ústnej dutiny: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0051;Povrchové poranenie pery a ústnej dutiny: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0054;Povrchové poranenie pery a ústnej dutiny: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0055;Povrchové poranenie pery a ústnej dutiny: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0058;Povrchové poranenie pery a ústnej dutiny: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S007;Viaceré povrchové poranenia hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0080;Povrchové poranenie inej časti hlavy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0081;Povrchové poranenie inej časti hlavy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0084;Povrchové poranenie inej časti hlavy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0085;Povrchové poranenie inej časti hlavy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0088;Povrchové poranenie inej časti hlavy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0090;Povrchové poranenie hlavy bližšie neurčenej časti: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0091;Povrchové poranenie hlavy bližšie neurčenej časti: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0094;Povrchové poranenie hlavy bližšie neurčenej časti: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0095;Povrchové poranenie hlavy bližšie neurčenej časti: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0098;Povrchové poranenie hlavy bližšie neurčenej časti: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S010;Otvorená rana vlasatej časti hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0141;Otvorená rana líca a temporomandibulárnej oblasti: líce;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
