kod_diagnozy;nazov_diagnozy
I601;Subarachnoidálne krvácanie z a.cerebri media
I602;Subarachnoidálne krvácanie z a.communicans anterior
I603;Subarachnoidálne krvácanie z a.communicans posterior
I604;Subarachnoidálne krvácanie z a.basilaris
I605;Subarachnoidálne krvácanie z a.vertebralis
I606;Subarachnoidálne krvácanie z iných intrakraniálnych tepien
I607;Subarachnoidálne krvácanie z bližšie neurčenej intrakraniálnej tepny
I608;Iné subarachnoidálne krvácanie
I609;Subarachnoidálne krvácanie, bližšie neurčené
I610;Vnútromozgové krvácanie do mozgovej hemisféry, subkortikálne
I611;Vnútromozgové krvácanie do hemisféry, kortikálne
I612;Vnútromozgové krvácanie do hemisféry, bližšie neurčené
I613;Vnútromozgové krvácanie do mozgového kmeňa
I614;Vnútromozgové krvácanie do mozočka (cerebela)
I615;Vnútromozgové vnútrokomorové (intraventrikulárne) krvácanie
I616;Vnútromozgové krvácanie na viacerých miestach
I618;Iné vnútromozgové krvácanie
I619;Vnútromozgové krvácanie, bližšie neurčené
I6200;Subdurálne krvácanie (neúrazové), akútne
I6201;Subdurálne krvácanie (neúrazové), subakútne
I6202;Subdurálne krvácanie (neúrazové), chronické
I6209;Subdurálne krvácanie (neúrazové), bližšie neurčené
I621;Neúrazové extradurálne krvácanie
I629;Intrakraniálne krvácanie (neúrazové), bližšie neurčené
I630;Mozgový infarkt, zapríčinený trombózou prívodných mozgových  tepien
I631;Mozgový infarkt, zapríčinený embóliou prívodných mozgových  tepien
I632;Mozgový infarkt, zapríčinený bližšie neurčeným uzáverom alebo zúžením prívodných mozgových tepien
I633;Mozgový infarkt, zapríčinený trombózou mozgových tepien
I634;Mozgový infarkt, zapríčinený embóliou mozgových tepien
I635;Mozgový infarkt, zapríčinený bližšie neurčeným uzáverom alebo zúžením mozgových tepien
I636;Mozgový infarkt, zapríčinený nehnisovou mozgovou žilovou trombózou
I638;Iný mozgový infarkt
I639;Mozgový infarkt, bližšie neurčený
I64;Cievna mozgová príhoda bližšie neurčená ako krvácanie alebo infarkt
I650;Uzáver a zúženie a. vertebralis
I651;Uzáver a zúženie a. basilaris
I652;Uzáver a zúženie a. carotis
I653;Uzáver a zúženie viacerých prívodných mozgových  tepien, obojstranne
I658;Uzáver a zúženie iných prívodných mozgových tepien
I659;Uzáver a zúženie bližšie neurčenej prívodnej mozgovej tepny
I660;Uzáver a zúženie a.cerebri media
I661;Uzáver a zúženie a.cerebri anterior
I662;Uzáver a zúženie a.cerebri posterior
I663;Uzáver a zúženie mozočkových tepien
I664;Uzáver a zúženie viacerých mozgových tepien, obojstranne
I668;Uzáver a zúženie inej mozgovej tepny
I669;Uzáver a zúženie bližšie neurčenej mozgovej tepny
I670;Disekcia mozgovej tepny
I6710;Získaná mozgová aneuryzma
I6711;Získaná mozgová artériovenózna fistula
S060;Otras mozgu
S061;Poúrazový opuch mozgu
S0620;Difúzne poranenie mozgu a mozočka, bližšie neurčené
S0621;Difúzne pomliaždenie mozgu
S0622;Difúzne pomliaždenie mozočka
S0623;Viaceré vnútromozgové a mozočkové hematómy
S0628;Iné difúzne poranenie mozgu a mozočka
S0630;Ložiskové poranenie mozgu a mozočka, bližšie neurčené
S0631;Ložiskové pomliaždenie mozgu
S0632;Ložiskové pomliaždenie mozočka
S0633;Ložiskový hematóm mozgu
S0634;Ložiskový hematóm mozočka
S0638;Iné ložiskové poranenie mozgu a mozočka
S064;Epidurálne krvácanie
S065;Subdurálne krvácanie po úraze
S066;Subarachnoidálne krvácanie po úraze
S0670;Bezvedomie pri poranení lebky a mozgu, trvajúce menej ako 30 minút
S0671;Bezvedomie pri poranení lebky a mozgu, trvajúce 30 minút až 24 hodín
S0672;Bezvedomie pri poranení lebky a mozgu, trvajúce viac ako 24 hodín, s návratom do pôvodného stavu vedomia
S0673;Bezvedomie pri poranení lebky a mozgu, trvajúce viac ako 24 hodín, bez návratu do pôvodného stavu vedomia
S0679;Bezvedomie pri poranení lebky a mozgu, bližšie neurčeného trvania
S068;Iné vnútrolebkové poranenie
S069;Vnútrolebkové poranenie, bližšie neurčené
S070;Drvivé poranenie tváre
S071;Drvivé poranenie lebky
S078;Drvivé poranenie iných častí hlavy
S079;Drvivé poranenie hlavy, časť bližšie neurčená
S097;Viaceré poranenia hlavy
S099;Poranenie hlavy, bližšie neurčené
T040;Drvivé poranenie postihujúce hlavu aj krk
T060;Poranenie mozgu a hlavových nervov kombinované s poranením nervov a miechy v úrovni krku
Z524;Živý darca obličky
