kod_vykonu;nazov_vykonu
12a100;Perkutánna biopsia mozgu s použitím zobrazovacích metód
12a101;Perkutánna biopsia bazálnych ganglií s použitím zobrazovacích metód
12a102;Perkutánna biopsia mozgového kmeňa s použitím zobrazovacích metód
12a103;Perkutánna biopsia mozočku s použitím zobrazovacích metód
12a104;Perkutánna biopsia intrakraniálnych častí, hlavových nervov a ganglií s použitím zobrazovacích metód
12a105;Perkutánna biopsia mozgových obalov s použitím zobrazovacích metód
12a10x;Perkutánna biopsia ostatného intrakraniálneho tkaniva s použitím zobrazovacích metód
12a200;Perkutánna (ihlová) biopsia miechy
12a201;Perkutánna (ihlová) biopsia intraspinálnych častí, miechových nervov a spinálnych ganglií
12a202;Perkutánna (ihlová) biopsia miechových obalov
12a20x;Perkutánna (ihlová) biopsia ostatného intraspinálneho tkaniva
12a300;Perkutánna (ihlová) biopsia periférnych extrakraniálnych hlavových nervov
12a301;Perkutánna (ihlová) biopsia periférnych nervov plexus brachialis
12a302;Perkutánna (ihlová) biopsia periférnych nervov ramena
12a303;Perkutánna (ihlová) biopsia periférnych nervov predlaktia
12a304;Perkutánna (ihlová) biopsia periférnych nervov ruky
12a305;Perkutánna (ihlová) biopsia periférnych nervov trupu
12a306;Perkutánna (ihlová) biopsia periférnych nervov plexus lumbosacralis
12a307;Perkutánna (ihlová) biopsia periférnych nervov panvy a panvového dna
12a308;Perkutánna (ihlová) biopsia periférnych nervov dolnej končatiny
12a309;Perkutánna (ihlová) biopsia periférnych nervov nohy
12a30x;Perkutánna (ihlová) biopsia ostatných periférnych nervov
12b10;Perkutánna (ihlová) biopsia hypofýzy
12b11;Perkutánna (ihlová) biopsia corpus pineale
12b13;Perkutánna (ihlová) biopsia prištítnych teliesok
12b20;Perkutánna (ihlová) biopsia hypofýzy s použitím zobrazovacích metód
12b21;Perkutánna (ihlová) biopsia corpus pineale s použitím zobrazovacích metód
12b23;Perkutánna (ihlová) biopsia prištítnych teliesok s použitím zobrazovacích metód
12c02;Biopsia spojovky bez incízie
12c03;Biopsia rohovky bez incízie
12m110;Perkutánna (ihlová) biopsia lymfatických uzlín krku
12m111;Perkutánna (ihlová) biopsia supraklavikulárnych lymfatických uzlín (Virchow uzlina) 
12m112;Perkutánna (ihlová) biopsia axilárnych lymfatických uzlín
12m113;Perkutánna (ihlová) biopsia mediastinálnych lymfatických uzlín
12m114;Perkutánna (ihlová) biopsia paraaortálnych lymfatických uzlín
12m115;Perkutánna (ihlová) biopsia iliakálnych lymfatických uzlín
12m116;Perkutánna (ihlová) biopsia lymfatických uzlín panvy
12m117;Perkutánna (ihlová) biopsia inguinálnych lymfatických uzlín
12m13;Perkutánna (ihlová) biopsia týmusu
12m1x;Perkutánna (ihlová) biopsia lymfatických uzlín sleziny a týmusu, ostatné
12m210;Perkutánna (ihlová) biopsia lymfatických uzlín krku s použitím zobrazovacích metód
12m211;Perkutánna (ihlová) biopsia supraklavikulárnych lymfatických uzlín (Virchow uzlina) s použitím zobrazovacích metód
12m212;Perkutánna (ihlová) biopsia axilárnych lymfatických uzlín s použitím zobrazovacích metód
12m213;Perkutánna (ihlová) biopsia mediastinálnych lymfatických uzlín s použitím zobrazovacích metód
12m214;Perkutánna (ihlová) biopsia paraaortálnych lymfatických uzlín s použitím zobrazovacích metód
12m215;Perkutánna (ihlová) biopsia iliakálnych lymfatických uzlín s použitím zobrazovacích metód
12m216;Perkutánna (ihlová) biopsia lymfatických uzlín panvy s použitím zobrazovacích metód
12m217;Perkutánna (ihlová) biopsia inguinálnych lymfatických uzlín s použitím zobrazovacích metód
12m23;Perkutánna (ihlová) biopsia týmusu s použitím zobrazovacích metód
12m2x;Perkutánna (ihlová) biopsia lymfatických uzlín, sleziny a týmusu s použitím zobrazovacích metód, ostatné
12o012;Transuretrálna biopsia močového mechúra
12o016;Transuretrálna biopsia močového mechúra - KNIPS
12q100;Perkutánna (ihlová) biopsia vaječníkov
12q101;Perkutánna (ihlová) biopsia tuba uterina
12q102;Perkutánna (ihlová) biopsia maternice
12q103;Perkutánna (ihlová) biopsia závesného aparátu maternice
12q110;Biopsia endometria bez incízie, diagnostická mikrokyretáž
12q111;Biopsia endometria bez incízie, aspiračná kyretáž
12q112;Biopsia endometria bez incízie, frakcionovaná kyretáž
12q11x;Biopsia endometria bez incízie, ostatné
12q120;Biopsia krčka maternice bez incízie, abrázia
12q12x;Biopsia krčka maternice bez incízie, ostatné
12q230;Perkutánna biopsia vaječníkov s použitím zobrazovacích metód
12q231;Perkutánna biopsia tuba uterina s použitím zobrazovacích metód
12q232;Perkutánna biopsia maternice s použitím zobrazovacích metód
12q233;Perkutánna biopsia závesného aparátu maternice s použitím zobrazovacích metód
12t000;Artroskopická biopsia temporomandibulárneho kĺbu
12t001;Artroskopická biopsia ramenného kĺbu
12t002;Artroskopická biopsia akromioklavikulárneho kĺbu
12t003;Artroskopická biopsia sternoklavikulárneho kĺbu
12t004;Artroskopická biopsia lakťového kĺbu
12t005;Artroskopická biopsia kĺbov ruky
12t006;Artroskopická biopsia bedrového kĺbu
12t007;Artroskopická biopsia kolenného kĺbu
12t008;Artroskopická biopsia členkového kĺbu
12t009;Artroskopická biopsia ostatných kĺbov nohy
12t00a;Artroskopická biopsia kĺbov prstov
12t00x;Artroskopická biopsia kĺbu, ostatné
12t104;Perkutánna (ihlová) biopsia chrbtice
12t204;Biopsia bez incízie s použitím zobrazovacích metód v oblasti chrbtice 
12t21b;Perkutánna biopsia s použitím zobrazovacích metód v oblasti burzy 
13a100;Biopsia s incíziou mozgu s trepanáciou lebkových kostí
13a101;Biopsia s incíziou bazálnych ganglií s trepanáciou lebkových kostí
