kod_diagnozy;nazov_diagnozy
A010;Brušný týfus
A011;Paratýfus A
A012;Paratýfus B
A013;Paratýfus C
A014;Paratýfus,bližšie neurčený
A020;Salmonelová enteritída
A021;Salmonelová sepsa
A022;Lokalizovaná salmonelová infekcia
A028;Iná salmonelová infekcia,bližšie určená
A029;Salmonelová infekcia,bližšie neurčená
A030;Šigelóza zapríčinená Shigella dysenteriae
A031;Šigelóza zapríčinená Shigella flexneri
A032;Šigelóza zapríčinená Shigella boydii
A033;Šigelóza zapríčinená Shigella sonnei
A038;Iná šigelóza
A039;Šigelóza,bližšie neurčená
A040;Infekcia zapríčinená enteropatogénnou Escherichia coli
A041;Infekcia zapríčinená enterotoxikogénnou Escherichia coli
A042;Infekcia zapríčinená enteroinvazívnou Escherichia coli
A043;Infekcia zapríčinená enterohemoragickou Escherichia coli
A044;Iné črevné infekcie zapríčinené Escherichia coli
A045;Enteritída zapríčinená kampylobakterom
A046;Enteritída zapríčinená Yersinia enterocolitica
A047;Enterokolitída zapríčinená Clostridium difficile
A0481;Enteritída zapríčinená Arcobacter spp.
A0489;Iná baktériová črevná infekcia, bližšie určená
A050;Potravinová otrava zapríčinená stafylokokmi
A051;Botulizmus
A052;Potravinová otrava zapríčinená Clostridium perfringens
A053;Potravinová otrava zapríčinená Vibrio parahaemolyticus
A081;Akútna gastroenteritída zapríčinená norovírusom [Norwalk]
A085;Iné,bližšie určené črevné infekcie
A090;Iná a bliž.neurč.gastroenteritída a kolitída infečného pôvodu
A150;TBC pľúc,potvrd.mikros.vyš.spúta s a bez dôk.kultiv./mol-biol.
A151;Tuberkulóza pľúc,potvrdená len kultivačne
A152;Tuberkulóza pľúc,potvrdená histologicky
A153;TBC pľúc,potvrdená inými.a bliž.nurč.metódami
A157;Primárna TBC dých.org.potv.bakt.molek.biolog./hist.
A159;TBC dých.súst,potvrdená bakter.molek.biolog./hist.,b.n
A160;TBC pľúc,bakter.molek.biolog.a hist.negat.
A161;TBC pľúc,bez vyk.bakter.molek.biolog.a hist.vyš.
A162;TBC pľúc,bez úd.o bakter.molek.biolog./hist.potvrdená
A167;Prim.TBC dých.súst,bez úd.o bakter.molek.biolog./hist.pot.
A169;TBC dých.súst.,bez úd.o bakter.molek.biolog./hist.pot.,b.n
A170;Tuberkulózna meningitída (G01*)
A171;Meningový tuberkulóm (G07*)
A178;Iná tuberkulóza nervovej sústavy
A179;Tuberkulóza nervovej sústavy,bližšie neurčená
A185;Tuberkulóza oka
A260;Kožný eryzipeloid
A267;Eryzipelotrixová sepsa
A268;Iná forma eryzipeloidu
A269;Bližšie neurčený eryzipeloid
A270;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae
A278;Iná forma leptospirózy
A279;Leptospiróza,bližšie neurčená
A280;Pasteurelóza
A281;Choroba z mačacieho škrabnutia
A282;Extraintestinálna yersinióza
A288;Iná baktériová zoonóza,bliž.určená,nezatriedená inde
A289;Baktériová zoonóza,bližšie neurčená
A320;Kožná listerióza
A321;Listériová meningitída a meningoencefalitída
A327;Listériová sepsa
A328;Iná forma listeriózy
A329;Listerióza,bližšie neurčená
A33;Tetanus novorodencov
A35;Iný tetanus
