kod_hlavneho_vykonu;nazov_vykonu;nazov_ms;kod_ms
93041;Chirurgická liečba degeneratívnych deformít v dospelom veku;Chirurgická liečba degeneratívnych deformít v dospelom veku;S12-04
93042;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S12-05
93043;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S12-06
93044;Paliatívna perkutánna chirurgická liečba nádorov chrbtice - T1-S1;Paliatívna perkutánna chirurgická liečba nádorov chrbtice - T1-S1;S12-07
93045;Paliatívna chirurgická liečba nádorov chrbtice - S1-Co;Paliatívna chirurgická liečba nádorov chrbtice - S1-Co;S12-08
93046;Radikálna chirurgická liečba nádorov chrbtice - C0-C7;Radikálna chirurgická liečba nádorov chrbtice - C0-C7;S12-01
93047;Radikálna chirurgická liečba nádorov chrbtice  - T1-L5;Radikálna chirurgická liečba nádorov chrbtice  - T1-L5;S12-02
93048;Radikálna chirurgická liečba nádorov chrbtice - S1-Co;Radikálna chirurgická liečba nádorov chrbtice - S1-Co;S12-03
93049;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C0-C2;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C0-C2;S12-09
93050;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C3-C7 ;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - C3-C7 ;S12-10
93051;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - T1-T11;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - T1-T11;S12-11
93052;Chirurgická liečba úrazov chrbtice bez neurologického deficitu -T12-L2;Chirurgická liečba úrazov chrbtice bez neurologického deficitu -T12-L2;S12-12
93053;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - L1-L5;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - L1-L5;S12-13
93054;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - S-Co;Chirurgická liečba úrazov chrbtice bez neurologického deficitu - S-Co;S12-14
93055;Chirurgická liečba úrazov chrbtice s instabilitou - C0-C2;Chirurgická liečba úrazov chrbtice s instabilitou - C0-C2;S12-15
93056;Chirurgická liečba úrazov chrbtice s instabilitou - C3-C7;Chirurgická liečba úrazov chrbtice s instabilitou - C3-C7;S12-16
93057;Chirurgická liečba úrazov chrbtice s instabilitou - T1-T11;Chirurgická liečba úrazov chrbtice s instabilitou - T1-T11;S12-17
93058;Chirurgická liečba úrazov chrbtice s instabilitou - T12-L2;Chirurgická liečba úrazov chrbtice s instabilitou - T12-L2;S12-18
93059;Chirurgická liečba úrazov chrbtice s instabilitou - L1-L5;Chirurgická liečba úrazov chrbtice s instabilitou - L1-L5;S12-19
93060;Chirurgická liečba úrazov chrbtice s instabilitou - S-Co;Chirurgická liečba úrazov chrbtice s instabilitou - S-Co;S12-20
93061;Chirurgická liečba úrazov chrbtice s neurologickým deficitom- C0-C2;Chirurgická liečba úrazov chrbtice s neurologickým deficitom- C0-C2;S12-35
93062;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - C3-C7;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - C3-C7;S12-36
93063;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T1-T11;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T1-T11;S12-37
93064;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T12-L2;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - T12-L2;S12-38
93065;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - L1-L5;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - L1-L5;S12-39
93066;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - S-Co;Chirurgická liečba úrazov chrbtice s neurologickým deficitom - S-Co;S12-40
93067;Chirurgická liečba degen. ochorení chrbtice - C0-C7 ;Chirurgická liečba degen. ochorení chrbtice - C0-C7 ;S12-21
93068;Chirurgická liečba degen. ochorení chrbtice - T1-S1;Chirurgická liečba degen. ochorení chrbtice - T1-S1;S12-22
93069;Chirurgická liečba degen. ochorení chrbtice - S2-Co + SI kĺby;Chirurgická liečba degen. ochorení chrbtice - S2-Co + SI kĺby;S12-23
93070;Chirurgická liečba instabilít chrbtice - C0-C2;Chirurgická liečba instabilít chrbtice - C0-C2;S12-24
93071;Chirurgická liečba instabilít chrbtice - C3-C7;Chirurgická liečba instabilít chrbtice - C3-C7;S12-25
93072;Chirurgická liečba instabilít chrbtice - T1-S1;Chirurgická liečba instabilít chrbtice - T1-S1;S12-26
93073;Chirurgická liečba instabilít chrbtice - S2-Co + SI kĺby;Chirurgická liečba instabilít chrbtice - S2-Co + SI kĺby;S12-27
93074;Chirurgická liečba zápalových a metabolických spondylopatií - C0-C2;Chirurgická liečba zápalových a metabolických spondylopatií - C0-C2;S12-28
93075;Chirurgická liečba zápalových a metabolických spondylopatií - C3-C7;Chirurgická liečba zápalových a metabolických spondylopatií - C3-C7;S12-29
93076;Chirurgická liečba zápalových a metabolických spondylopatií - T1-S1;Chirurgická liečba zápalových a metabolických spondylopatií - T1-S1;S12-30
93077;Chirurgická liečba zápalových a metabolických spondylopatií  - S2-Co + SI kĺby;Chirurgická liečba zápalových a metabolických spondylopatií - S2-Co + SI kĺby;S12-31
8m3050;Intraperitoneálna hypertermická chemoterapia [HIPEC];Chirurgická hypertermická chemoterapia – HIPEC ;S44-21
