kod_vykonu;nazov_vykonu;kod_ms
5t600;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, debridement;S12-04
5t601;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, sekvestrotómia;S12-04
5t604;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, drenáž;S12-04
5t605;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly;S12-04
5t606;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly so sekvestrotómiou;S12-04
5t60x;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, ostatné;S12-04
5t620;Excízia spondylofytu (osteofytu);S12-04
5t621;Parciálna excízia tela stavca chrbtice;S12-04
5t6411;Dorzálna spondylodéza, 1 segment;S12-04
5t6412;Dorzálna spondylodéza, 2 segmenty;S12-04
5t6413;Dorzálna spondylodéza, 3 segmenty;S12-04
5t6414;Dorzálna spondylodéza, 4 segmenty;S12-04
5t6415;Dorzálna spondylodéza, 5 segmentov;S12-04
5t6416;Dorzálna spondylodéza, 6 a viac segmentov;S12-04
5t639;Transplantácie autológnej spongiózy (štepu) alebo kortikospongiózneho štepu na chrbtici;S12-04
5t63a0;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;S12-04
5t63a1;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;S12-04
5t63b0;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;S12-04
5t63b1;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;S12-04
5t63c;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;S12-04
5t63d;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;S12-04
5t63e;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;S12-04
5t63x;Kostná náhrada na chrbtici, ostatné;S12-04
5t6421;Ventrálna spondylodéza, 1 segment;S12-04
5t6422;Ventrálna spondylodéza, 2 segmenty;S12-04
5t6423;Ventrálna spondylodéza, 3 segmenty;S12-04
5t6424;Ventrálna spondylodéza, 4 segmenty;S12-04
5t6425;Ventrálna spondylodéza, 5 segmentov;S12-04
5t6426;Ventrálna spondylodéza, 6 a viac segmentov;S12-04
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 1 segment;S12-04
5t6432;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 2 segmenty;S12-04
5t6433;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 3 segmenty;S12-04
5t6434;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 4 segmenty;S12-04
5t6435;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 5 segmentov;S12-04
5t6436;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 6 a viac segmentov;S12-04
5t6501;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 1 stavec;S12-04
5t6502;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 2 stavce;S12-04
5t65ga1;Dorzálna (inštrumentovaná) korektívna spondylodéza, 3-6 segmentov primárne stabilné;S12-04
5t65gb1;Dorzálna (inštrumentovaná) korektívna spondylodéza, 7 -10 segmentov primárne stabilné;S12-04
5t65gc1;Dorzálna (inštrumentovaná) korektívna spondylodéza, 11 a viac segmentov primárne stabilné;S12-04
5t65ha1;Predná (inštrumentovaná) korektívna spondylodéza, 3-6 segmentov primárne stabilné;S12-04
5t65hb1;Predná (inštrumentovaná) korektívna spondylodéza, 7 -10 segmentov primárne stabilné;S12-04
5t65ja0;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 3-6 segmentov primárne nestabilné;S12-04
5t65ja1;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 3-6 segmentov primárne stabilné;S12-04
5t65jb0;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 7 -10 segmentov, primárne nestabilné;S12-04
5t65jb1;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 7 -10 segmentov primárne stabilné;S12-04
5t65jc0;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 11 a viac segmentov primárne nestabilné;S12-04
5t65jc1;Zadná a predná kombinovaná (inštrumentovaná) korektívna spondylodéza, 11 a viac segmentov primárne stabilné;S12-04
5t690;Odstránenie osteosyntetického materiálu z chrbtice;S12-04
5t695;Revízia po operácii chrbtice;S12-04
5t69xx;Iné operácie na chrbtici, ostatné;S12-04
5t6911;Implantácia platničkovej endoprotézy, 1 segment;S12-04
5t6912;Implantácia platničkovej endoprotézy, 2 segmenty;S12-04
5t6913;Implantácia platničkovej endoprotézy, 3 segmenty;S12-04
5t6914;Implantácia platničkovej endoprotézy, 4 a viac segmentov;S12-04
5t692;Revízia náhrady medzistavcovej platničky bez výmeny;S12-04
5t693;Výmena endoprotézy medzistavcovej platničky;S12-04
5t694;Odstránenie endoprotézy medzistavcovej platničky;S12-04
5t6961;Dekompresia miešneho kanála uvoľnením kosti, 1 segment;S12-04
5t6962;Dekompresia miešneho kanála uvoľnením kosti, 2 segmenty;S12-04
5t6963;Dekompresia miešneho kanála uvoľnením kosti, 3 segmenty;S12-04
5t6964;Dekompresia miešneho kanála uvoľnením kosti, 4 a viac segmentov;S12-04
5t697;Uvoľnenie miešneho kanála po korekcii deformít v prvom sedení;S12-04
5t641a1;Predĺženie zadnej spondylodézy s použitím konektora 1 segment ;S12-04
5t641a2;Predĺženie zadnej spondylodézy s použitím konektora 2 segment ;S12-04
5t641a3;Predĺženie zadnej spondylodézy s použitím konektora 3 segment ;S12-04
5t641a4;Predĺženie zadnej spondylodézy s použitím konektora 4 segment ;S12-04
5t641a5;Predĺženie zadnej spondylodézy s použitím konektora 5 segment ;S12-04
5t641a6;Predĺženie zadnej spondylodézy s použitím konektora 6 segment ;S12-04
5t641a7;Predĺženie zadnej spondylodézy s použitím konektora 7 a viac segmentov ;S12-04
5t65l1;Osteotómia Smith-Petersen 1 segment;S12-04
5t65l2;Osteotómia Smith-Petersen 2 segment;S12-04
5t65l3;Osteotómia Smith-Petersen 3 a viac segment;S12-04
5t65l4;Pedicle substrakčná osteotómia 1 segment;S12-04
5t65l5;Pedicle substrakčná osteotómia 2 segment;S12-04
5t65l6;Pedicle substrakčná osteotómia 3 a viac segmentov;S12-04
5t65l7;Osteotómia nesegmentovanej kostnej lišty ;S12-04
5a90211;Laminotómia krčnej chrbtice, 1 segment;S12-05
5a90212;Laminotómia krčnej chrbtice, 2 segmenty;S12-05
5a90213;Laminotómia krčnej chrbtice, viac ako 2 segmenty;S12-05
5a90221;Hemilaminektómia krčnej chrbtice, 1 segment;S12-05
5a90222;Hemilaminektómia krčnej chrbtice, 2 segmenty;S12-05
5a90223;Hemilaminektómia krčnej chrbtice, viac ako 2 segmenty;S12-05
5a90231;Laminektómia krčnej chrbtice, 1 segment;S12-05
5a90232;Laminektómia krčnej chrbtice, 2 segmenty;S12-05
5a90233;Laminektómia krčnej chrbtice, viac ako 2 segmenty;S12-05
5t6961;Dekompresia miešneho kanála uvoľnením kosti, 1 segment;S12-05
5t6962;Dekompresia miešneho kanála uvoľnením kosti, 2 segmenty;S12-05
5t6963;Dekompresia miešneho kanála uvoľnením kosti, 3 segmenty;S12-05
5t6964;Dekompresia miešneho kanála uvoľnením kosti, 4 a viac segmentov;S12-05
5a901b;Kraniocervikálny prechod, dorzálne;S12-05
5a90201;Dorzálny prístup ku krčnej chrbtici, 1 segment;S12-05
5a90202;Dorzálny prístup ku krčnej chrbtici, 2 segmenty;S12-05
5a90203;Dorzálny prístup ku krčnej chrbtici, viac ako 2 segmenty;S12-05
5t695;Revízia po operácii chrbtice;S12-05
5t624;Parciálna artrektómia;S12-05
5t625;Totálna artrektómia;S12-05
5t626;Foraminektómia;S12-05
5t627;Excízia z poškodeného kostného a kĺbneho tkaniva viacerých segmentov stavcov a naliehajúcich štruktúr;S12-05
5t628;Excízia z poškodeného kostného a kĺbneho tkaniva stavcového oblúka;S12-05
5t629;Excízia z poškodeného kostného a kĺbneho tkaniva chrbtice stavcového oblúka a naliehajúcich štruktúr;S12-05
5t62x;Excízia z poškodeného kostného a kĺbneho tkaniva chrbtice, ostatné;S12-05
5t621;Parciálna excízia tela stavca chrbtice;S12-05
5t6601;Otvorená repozícia chrbtice (dynamická stabilizácia) drôtovou serklážou, 1 segment;S12-05
5t6602;Otvorená repozícia chrbtice (dynamická stabilizácia) drôtovou serklážou, 2 segmenty;S12-05
5t6603;Otvorená repozícia chrbtice (dynamická stabilizácia) drôtovou serklážou, 3 segmenty;S12-05
5t6604;Otvorená repozícia chrbtice (dynamická stabilizácia) drôtovou serklážou, 4 a viac segmentov;S12-05
5t6611;Otvorená repozícia chrbtice (dynamická stabilizácia) skrutkou, 1 segment;S12-05
5t6612;Otvorená repozícia chrbtice (dynamická stabilizácia) skrutkou, 2 segmenty;S12-05
5t6613;Otvorená repozícia chrbtice (dynamická stabilizácia) skrutkou, 3 segmenty;S12-05
5t6614;Otvorená repozícia chrbtice (dynamická stabilizácia) skrutkou, 4 a viac segmentov;S12-05
5t6631;Otvorená repozícia chrbtice (dynamická stabilizácia) ventrálnym systémom skrutiek a dláh, 1 segment;S12-05
5t6632;Otvorená repozícia chrbtice (dynamická stabilizácia) ventrálnym systémom skrutiek a dláh, 2 segmenty;S12-05
5t6633;Otvorená repozícia chrbtice (dynamická stabilizácia) ventrálnym systémom skrutiek a dláh, 3 segmenty;S12-05
5t6634;Otvorená repozícia chrbtice (dynamická stabilizácia) ventrálnym systémom skrutiek a dláh, 4 a viac segmentov;S12-05
5t6641;Otvorená repozícia chrbtice (dynamická stabilizácia) dorzálnym systémom skrutiek a dláh, 1 segment;S12-05
5t6642;Otvorená repozícia chrbtice (dynamická stabilizácia) dorzálnym systémom skrutiek a dláh, 2 segmenty;S12-05
5t6643;Otvorená repozícia chrbtice (dynamická stabilizácia) dorzálnym systémom skrutiek a dláh, 3 segmenty;S12-05
5t6644;Otvorená repozícia chrbtice (dynamická stabilizácia) dorzálnym systémom skrutiek a dláh, 4 a viac segmentov;S12-05
5t6651;Otvorená repozícia chrbtice (dynamická stabilizácia) systémom skrutiek a tyčí, 1 segment;S12-05
5t6652;Otvorená repozícia chrbtice (dynamická stabilizácia) systémom skrutiek a tyčí, 2 segmenty;S12-05
5t6653;Otvorená repozícia chrbtice (dynamická stabilizácia) systémom skrutiek a tyčí, 3 segmenty;S12-05
5t6654;Otvorená repozícia chrbtice (dynamická stabilizácia) systémom skrutiek a tyčí, 4 a viac segmentov;S12-05
5t6681;Otvorená repozícia chrbtice (dynamická stabilizácia) fixačným interným systémom, 1 segment;S12-05
5t6682;Otvorená repozícia chrbtice (dynamická stabilizácia) fixačným interným systémom, 2 segmenty;S12-05
5t6683;Otvorená repozícia chrbtice (dynamická stabilizácia) fixačným interným systémom, 3 segmenty;S12-05
5t6684;Otvorená repozícia chrbtice (dynamická stabilizácia) fixačným interným systémom, 4 a viac segmentov;S12-05
5t66x1;Otvorená repozícia chrbtice (dynamická stabilizácia), ostatné: 1 segment;S12-05
5t66x2;Otvorená repozícia chrbtice (dynamická stabilizácia), ostatné: 2 segmenty;S12-05
