kod_vykonu;nazov_vykonu;skupina_diagnoz;kod_ms;nazov_ms
5t06f0;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, nemotorizovaná;Trauma a poúrazové stavy;S02-04;Osteosyntéza pre poúrazové stavy a komplikácie iná
5t06f1;Osteosyntéza vnútorným predlžovacím alebo posuvným systémom, motorizovaná;Trauma a poúrazové stavy;S02-04;Osteosyntéza pre poúrazové stavy a komplikácie iná
5t900;Replantácia v oblasti nad lakťom;Trauma a poúrazové stavy;S02-06;Replantácie
5t901;Replantácia v oblasti lakťa;Trauma a poúrazové stavy;S02-06;Replantácie
5t902;Replantácia v oblasti predlaktia;Trauma a poúrazové stavy;S02-06;Replantácie
5t903;Replantácia v oblasti zápästia;Trauma a poúrazové stavy;S02-06;Replantácie
5t904;Replantácia v oblasti strednej časti ruky;Trauma a poúrazové stavy;S02-06;Replantácie
5t905;Replantácia palca ruky;Trauma a poúrazové stavy;S02-06;Replantácie
5t906;Replantácia v oblasti prstov ruky;Trauma a poúrazové stavy;S02-06;Replantácie
5t90x;Replantácia v oblasti hornej končatiny, ostatné;Trauma a poúrazové stavy;S02-06;Replantácie
5t910;Replantácia v oblasti stehna;Trauma a poúrazové stavy;S02-06;Replantácie
5t911;Replantácia v oblasti kolena;Trauma a poúrazové stavy;S02-06;Replantácie
5t912;Replantácia v oblasti predkolenia;Trauma a poúrazové stavy;S02-06;Replantácie
5t913;Replantácia v oblasti členka;Trauma a poúrazové stavy;S02-06;Replantácie
5t914;Replantácia v oblasti stredu šlapy;Trauma a poúrazové stavy;S02-06;Replantácie
5t915;Replantácia prstu nohy;Trauma a poúrazové stavy;S02-06;Replantácie
5t91x;Replantácia v oblasti dolnej končatiny,ostatné;Trauma a poúrazové stavy;S02-06;Replantácie
5a901a;Kraniocervikálny prechod, transorálne;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a901b;Kraniocervikálny prechod, dorzálne;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a901c;Kraniocervikálny prechod, laterálne;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a90451;Transperitoneálny prístup k bedrovej chrbtici;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a90452;Dorzolaterálny prístup k bedrovej chrbtici;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a90453;Retroperitoneálny prístup k bedrovej chrbtici;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a90461;Dorzálny prístup k Os sacrum a k Os coccygis;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a90462;Ventrálny prístup k Os sacrum a Os coccygis;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a9047;Kombinácia pararektal-retroperitoneálneho prístupu;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a9048;Kombinácia torako-retroperitoneálne-retroperitoneálneho prístupu;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5a9049;Transapikálny prístup podľa Judet;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
5t622;Totálna excízia tela stavca chrbtice;Trauma a poúrazové stavy;S02-22;Komplexné výkony na chrbtici pre traumu a poúrazové stavy
