skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Akútna leukémia;c910-;Akútna lymfoblastová leukémia (ALL)
Akútna leukémia;c9130;Prolymfocytová leukémia z B-buniek, bez kompletnej remisie
Akútna leukémia;c915-;Leukémia /lymfóm z dospelých T-buniek spojený s infekciou HTLV-1
Akútna leukémia;c916-;Prolymfocytová leukémia z T-buniek
Akútna leukémia;c918-;Leukémia zo zrelých B-buniek Burkittovho typu
Akútna leukémia;c919-;Lymfatická leukémia, bližšie neurčená
Akútna leukémia;c920-;Akútna myeloblastová leukémia (AML)
Akútna leukémia;c923-;Myelosarkóm
Akútna leukémia;c924-;Akútna promyelocytová leukémia (PCL)
Akútna leukémia;c925-;Akútna myelomonocytová leukémia
Akútna leukémia;c926-;Akútna myeloická leukémia s 11q23 abnormalitou
Akútna leukémia;c927-;Iná myeloická leukémia
Akútna leukémia;c928-;Akútna myeloická leukémia s multilineárnou dyspláziou
Akútna leukémia;c929-;Myeloická leukémia, bližšie neurčená
Akútna leukémia;c930-;Akútna monoblastová/monocytová leukémia
Akútna leukémia;c937-;Iná monocytová leukémia
Akútna leukémia;c939-;Monocytová leukémia, bližšie neurčená
Akútna leukémia;c940-;Akútna erytroleukémia
Akútna leukémia;c942-;Akútna megakaryoblastová leukémia
Akútna leukémia;c943-;Mastocytová leukémia
Akútna leukémia;c944-;Akútna panmyelóza s myelofibrózou
Akútna leukémia;c947-;Iná bližšie určená leukémia
Akútna leukémia;c948;Blastová kríza pri chronickej myeloickej leukémii (CML)
Akútna leukémia;c950-;Akútna leukémia bližšie neurčeného bunkového typu
Akútna leukémia;c957-;Iná leukémia bližšie neurčeného bunkového typu
Akútna leukémia;c959-;Leukémia, bližšie neurčená
Akútna leukémia;d462;Refraktérna anémia s veľkým množstvom blastov
Akútne zlyhanie pečene;k720;Akútne a subakútne pečeňové zlyhávanie
Akútny peptický vred jejúna;k280;Peptický vred jejúna, akútny s krvácaním
Ascites;r18;Ascites
Barrettov pažerák;k227;Barrettov pažerák
Bolesti hlavy - vybrané diagnózy;g432;Status migraenosus [migrénový stav]
Bolesti hlavy - vybrané diagnózy;g433;Komplikovaná migréna
Bolesti hlavy - vybrané diagnózy;g440;Syndróm klastrovej bolesti hlavy [Cluster headache syndrome]
Bolesti hlavy - vybrané diagnózy;g932;Benígna intrakraniálna hypertenzia
Bolesti hlavy - vybrané diagnózy;g971;Iná reakcia na spinálnu a lumbálnu punkciu
Cerebelárna ataxia;g11-;Dedičná ataxia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;f431;Posttraumatická stresová porucha
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g551;Kompresia nervových koreňov a spletí pri poškodení medzistavcových platničiek (M50-M51†)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g552;Kompresia nervových koreňov a spletí pri spondylóze (M47.-†)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g553;Kompresia nervových koreňov a spletí pri iných dorzopatiách (M45-M46†, M48.-†, M53-M54†)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g558;Kompresia nervových koreňov a spletí pri iných chorobách zatriedených inde
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g560;Syndróm karpálneho tunela
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g561;Iné poškodenie n. medianus
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g562;Poškodenie n. ulnaris
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g563;Poškodenie n. radialis
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g568;Iná mononeuropatia hornej končatiny
Chemické, biologické faktory ochorenia - pracovné lekárstvo;g569;Mononeuropatia hornej končatiny, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h102;Iná akútna konjunktivitída
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h104;Chronická konjunktivitída
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h105;Blefarokonjunktivitída
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h268;Iná katarakta, bližšie určená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h55;Nystagmus a iné nepravidelné pohyby oka
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h728;Iná perforácia blany bubienka
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h833;Vplyv hluku na vnútorné ucho
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h90-;Prevodová a percepčná strata sluchu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h910;Ototoxická strata sluchu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h918;Iná strata sluchu, bližšie určená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;h931;Zvonenie v ušiach [tinnitus aurium]
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i10-;Primárna [esenciálna] artériová hypertenzia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i158-;Iná sekundárna artériová hypertenzia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i159-;Sekundárna artériová hypertenzia, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i516;Srdcovocievna choroba, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i730;Raynaudov syndróm
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i738;Iné choroby periférnych ciev, bližšie určené
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i739;Choroba periférnych ciev, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i792;Periférna angiopatia pri chorobách zatriedených inde
Chemické, biologické faktory ochorenia - pracovné lekárstvo;i798;Iná choroba tepien, tepničiek a vlásočníc pri chorobách zatriedených inde
